,County,State,lat,lng
607,Douglas County, Georgia,39.26,-104.94
608,Grady County, Georgia,35.05,-97.87
609,Jeff Davis County, Georgia,30.75,-104.19
610,Montgomery County, Georgia,39.15,-77.24
611,Oglethorpe County, Georgia,33.91,-83.04
612,Randolph County, Georgia,35.74,-79.83
613,Rockdale County, Georgia,33.68,-84.04
614,Ware County, Georgia,31.13,-82.48
615,Wayne County, Georgia,42.28,-83.34
616,Wheeler County, Georgia,44.67,-120.08
617,Wilcox County, Georgia,32.01,-87.34
618,Baldwin County, Georgia,30.6,-87.78
619,Banks County, Georgia,34.38,-83.46
620,Bulloch County, Georgia,32.36,-81.78
621,Clarke County, Georgia,33.95,-83.36
622,Hawaii County, Hawaii,19.54,-155.67
623,Honolulu County, Hawaii,21.31,-157.86
624,Maui County, Hawaii,20.8,-156.33
625,Kauai County, Hawaii,21.97,-159.57
626,Kalawao County, Hawaii,21.23,-156.97
627,Oneida County, Idaho,43.24,-75.43
628,Cassia County, Idaho,42.36,-113.57
629,Gem County, Idaho,44.03,-116.36
630,Lincoln County, Idaho,35.46,-81.21
631,Valley County, Idaho,44.92,-115.79
632,Adams County, Idaho,39.84,-104.19
633,Franklin County, Idaho,40.02,-82.99
634,Nez Perce County, Idaho,46.42,-116.62
635,Jerome County, Idaho,42.71,-114.33
636,Kootenai County, Idaho,47.76,-116.62
637,Lewis County, Idaho,46.62,-122.46
638,Minidoka County, Idaho,42.84,-113.58
639,Twin Falls County, Idaho,42.34,-114.68
640,Owyhee County, Idaho,42.68,-116.06
641,Blaine County, Idaho,43.47,-113.97
642,Boise County, Idaho,43.96,-115.86
643,Boundary County, Idaho,48.8,-116.56
644,Butte County, Idaho,39.63,-121.54
645,Caribou County, Idaho,42.75,-111.67
646,Gooding County, Idaho,42.92,-114.75
647,Ada County, Idaho,43.48,-116.24
648,Bannock County, Idaho,42.58,-112.14
649,Bear Lake County, Idaho,42.23,-111.28
650,Bingham County, Idaho,43.21,-112.36
651,Bonneville County, Idaho,43.45,-111.55
652,Camas County, Idaho,43.51,-114.82
653,Canyon County, Idaho,43.68,-116.69
654,Clearwater County, Idaho,47.72,-95.31
655,Jefferson County, Idaho,39.58,-105.27
656,Latah County, Idaho,46.74,-116.68
657,Custer County, Idaho,38.06,-105.31
658,Lemhi County, Idaho,45.04,-113.92
659,Payette County, Idaho,44.02,-116.72
660,Benewah County, Idaho,47.24,-116.65
661,Bonner County, Idaho,48.28,-116.59
662,Clark County, Idaho,36.08,-115.09
663,Elmore County, Idaho,32.56,-86.01
664,Fremont County, Idaho,38.53,-105.5
665,Madison County, Idaho,38.9,-89.93
666,Shoshone County, Idaho,47.17,-115.91
667,Idaho County, Idaho,45.9,-115.72
668,Teton County, Idaho,43.85,-110.63
669,Power County, Idaho,42.75,-112.77
670,Washington County, Idaho,45.55,-123.14
671,Hancock County, Illinois,39.82,-85.85
672,Madison County, Illinois,38.9,-89.93
673,Grundy County, Illinois,41.35,-88.4
674,Kankakee County, Illinois,41.18,-87.78
675,Mercer County, Illinois,40.3,-74.73
676,DuPage County, Illinois,41.82,-88.09
677,Sangamon County, Illinois,39.73,-89.63
678,Alexander County, Illinois,35.9,-81.21
679,Menard County, Illinois,30.98,-99.81
680,Randolph County, Illinois,35.74,-79.83
681,Morgan County, Illinois,41.06,-111.62
682,Cook County, Illinois,41.74,-87.7
683,Ogle County, Illinois,42.0,-89.32
684,Macon County, Illinois,35.12,-83.34
685,Stephenson County, Illinois,42.31,-89.63
686,Wayne County, Illinois,42.28,-83.34
687,White County, Illinois,34.66,-83.72
688,Woodford County, Illinois,40.71,-89.17
689,Franklin County, Illinois,40.02,-82.99
690,Henderson County, Illinois,35.37,-82.43
691,McDonough County, Illinois,40.39,-90.68
692,McHenry County, Illinois,42.3,-88.4
693,McLean County, Illinois,40.55,-88.86
694,Moultrie County, Illinois,39.6,-88.6
695,Perry County, Illinois,40.37,-77.24
696,Pike County, Illinois,41.34,-75.06
697,Pope County, Illinois,35.44,-93.02
698,Rock Island County, Illinois,41.4,-90.56
699,St. Clair County, Illinois,43.02,-82.65
700,Shelby County, Illinois,35.13,-89.93
701,Wabash County, Illinois,40.8,-85.85
702,Champaign County, Illinois,40.21,-88.25
703,Calhoun County, Illinois,42.21,-85.02
704,Cumberland County, Illinois,34.95,-78.75
705,Ford County, Illinois,37.65,-99.81
706,Jo Daviess County, Illinois,42.31,-90.22
707,Kane County, Illinois,41.99,-88.4
708,Kendall County, Illinois,41.55,-88.44
709,Lawrence County, Illinois,40.96,-80.37
710,Brown County, Illinois,44.46,-87.93
711,Marion County, Illinois,44.84,-122.59
712,Marshall County, Illinois,34.37,-86.34
713,Mason County, Illinois,47.43,-123.2
714,Iroquois County, Illinois,40.77,-87.7
715,Christian County, Illinois,37.0,-93.18
716,Clay County, Illinois,29.99,-81.78
717,Gallatin County, Illinois,45.54,-111.12
718,Jackson County, Illinois,38.99,-94.32
719,Monroe County, Illinois,43.28,-77.75
720,Peoria County, Illinois,40.72,-89.78
721,Union County, Illinois,34.93,-80.54
722,Winnebago County, Illinois,44.01,-88.71
723,Piatt County, Illinois,40.05,-88.56
724,Pulaski County, Illinois,34.75,-92.22
725,Schuyler County, Illinois,42.38,-76.87
726,Stark County, Illinois,40.87,-81.25
727,Edgar County, Illinois,39.71,-87.78
728,Bond County, Illinois,38.9,-89.47
729,Boone County, Illinois,38.99,-84.73
730,Bureau County, Illinois,41.36,-89.47
731,Carroll County, Illinois,39.54,-77.06
732,Coles County, Illinois,39.56,-88.25
733,Crawford County, Illinois,41.67,-80.28
734,Jersey County, Illinois,39.07,-90.37
735,Putnam County, Illinois,41.44,-73.79
736,De Witt County, Illinois,29.12,-97.35
737,Fayette County, Illinois,33.45,-84.48
738,Lee County, Illinois,26.66,-81.95
739,Logan County, Illinois,40.39,-83.85
740,Macoupin County, Illinois,39.24,-89.93
741,Richland County, Illinois,34.04,-80.94
742,Saline County, Illinois,34.57,-92.54
743,Washington County, Illinois,45.55,-123.14
744,Montgomery County, Illinois,39.15,-77.24
745,Whiteside County, Illinois,41.76,-89.85
746,Adams County, Illinois,39.84,-104.19
747,Clinton County, Illinois,42.97,-84.52
748,DeKalb County, Illinois,33.8,-84.23
749,Edwards County, Illinois,29.93,-100.44
750,Jasper County, Illinois,32.49,-81.08
751,Jefferson County, Illinois,39.58,-105.27
752,Vermilion County, Illinois,40.12,-87.7
753,Will County, Illinois,41.51,-88.09
754,Williamson County, Illinois,30.76,-97.7
755,Clark County, Illinois,36.08,-115.09
756,Douglas County, Illinois,39.26,-104.94
757,Effingham County, Illinois,32.38,-81.38
758,Fulton County, Illinois,33.8,-84.4
759,Greene County, Illinois,39.7,-83.89
760,Hamilton County, Illinois,39.24,-84.56
761,Hardin County, Illinois,30.36,-94.32
762,Henry County, Illinois,33.43,-84.14
763,Johnson County, Illinois,38.85,-94.85
764,Knox County, Illinois,35.99,-83.94
765,Lake County, Illinois,42.37,-87.83
766,Livingston County, Illinois,42.62,-83.85
767,Massac County, Illinois,37.25,-88.75
768,Scott County, Illinois,44.68,-93.54
769,Tazewell County, Illinois,40.55,-89.47
770,Cass County, Illinois,47.21,-94.23
771,Warren County, Illinois,39.42,-84.19
772,Monroe County, Indiana,43.28,-77.75
773,Fountain County, Indiana,40.22,-87.33
774,Elkhart County, Indiana,41.61,-85.85
775,Starke County, Indiana,41.27,-86.62
776,Crawford County, Indiana,41.67,-80.28
777,Cass County, Indiana,47.21,-94.23
778,Greene County, Indiana,39.7,-83.89
779,Marion County, Indiana,44.84,-122.59
780,Wayne County, Indiana,42.28,-83.34
781,Grant County, Indiana,47.2,-119.37
782,LaSalle County, Illinois,41.44,-88.94
783,Clay County, Indiana,29.99,-81.78
784,Hendricks County, Indiana,39.81,-86.54
785,Dubois County, Indiana,38.36,-86.82
786,Franklin County, Indiana,40.02,-82.99
787,Hancock County, Indiana,39.82,-85.85
788,Jackson County, Indiana,38.99,-94.32
789,Howard County, Indiana,39.29,-76.96
790,Ohio County, Indiana,37.51,-86.82
791,Owen County, Indiana,39.36,-86.82
792,Parke County, Indiana,39.7,-87.14
793,Randolph County, Indiana,35.74,-79.83
794,Whitley County, Indiana,41.11,-85.52
795,Benton County, Indiana,46.32,-119.5
796,Brown County, Indiana,44.46,-87.93
797,Clinton County, Indiana,42.97,-84.52
798,Putnam County, Indiana,41.44,-73.79
799,Union County, Indiana,34.93,-80.54
800,Washington County, Indiana,45.55,-123.14
801,Daviess County, Indiana,37.73,-87.1
802,Dearborn County, Indiana,39.17,-84.98
803,Henry County, Indiana,33.43,-84.14
804,Knox County, Indiana,35.99,-83.94
805,Lawrence County, Indiana,40.96,-80.37
806,Madison County, Indiana,38.9,-89.93
807,Perry County, Indiana,40.37,-77.24
808,Pike County, Indiana,41.34,-75.06
809,Pulaski County, Indiana,34.75,-92.22
810,Posey County, Indiana,38.0,-87.89
811,Steuben County, Indiana,42.32,-77.38
812,Warren County, Indiana,39.42,-84.19
813,Vermillion County, Indiana,40.12,-87.7
814,Wells County, Indiana,40.78,-85.19
815,Floyd County, Indiana,34.28,-85.23
816,Allen County, Indiana,41.09,-85.02
817,Decatur County, Indiana,39.32,-85.52
818,Delaware County, Indiana,39.91,-75.39
819,Miami County, Indiana,40.08,-84.19
820,Jefferson County, Indiana,39.58,-105.27
821,Jennings County, Indiana,38.99,-85.68
822,Johnson County, Indiana,38.85,-94.85
823,Morgan County, Indiana,41.06,-111.62
824,Gibson County, Indiana,38.33,-87.58
825,Newton County, Indiana,33.55,-83.85
826,Orange County, Indiana,33.72,-117.83
827,St. Joseph County, Indiana,41.62,-86.34
828,Kosciusko County, Indiana,41.29,-85.85
829,Marshall County, Indiana,34.37,-86.34
830,Switzerland County, Indiana,38.84,-85.06
831,Vanderburgh County, Indiana,38.08,-87.58
832,Blackford County, Indiana,40.5,-85.31
833,Carroll County, Indiana,39.54,-77.06
834,Scott County, Indiana,44.68,-93.54
835,Harrison County, Indiana,30.43,-89.02
836,Huntington County, Indiana,40.79,-85.52
837,LaPorte County, Indiana,41.48,-86.82
838,Wabash County, Indiana,40.8,-85.85
839,White County, Indiana,34.66,-83.72
840,Jasper County, Indiana,32.49,-81.08
841,Jay County, Indiana,40.45,-85.02
842,Martin County, Indiana,27.08,-80.41
843,Porter County, Indiana,41.52,-87.1
844,Shelby County, Indiana,35.13,-89.93
845,Ripley County, Indiana,39.1,-85.23
846,Spencer County, Indiana,38.01,-85.31
847,Sullivan County, Indiana,41.69,-74.78
848,Tipton County, Indiana,35.52,-89.74
849,Tippecanoe County, Indiana,40.35,-86.82
850,Vigo County, Indiana,39.42,-87.42
851,Warrick County, Indiana,38.07,-87.26
852,Hamilton County, Indiana,39.24,-84.56
853,DeKalb County, Indiana,33.8,-84.23
854,LaGrange County, Indiana,41.63,-85.4
855,Bartholomew County, Indiana,39.21,-85.89
856,Rush County, Indiana,39.65,-85.52
857,Boone County, Indiana,38.99,-84.73
858,Fulton County, Indiana,33.8,-84.4
859,Lake County, Indiana,42.37,-87.83
860,Montgomery County, Indiana,39.15,-77.24
861,Noble County, Indiana,41.43,-85.35
862,Adams County, Indiana,39.84,-104.19
863,Clark County, Indiana,36.08,-115.09
864,Fayette County, Indiana,33.45,-84.48
865,Delaware County, Iowa,39.91,-75.39
866,Jefferson County, Iowa,39.58,-105.27
867,Wayne County, Iowa,42.28,-83.34
868,Allamakee County, Iowa,43.24,-91.44
869,Linn County, Iowa,42.07,-91.68
870,Scott County, Iowa,44.68,-93.54
871,Dallas County, Iowa,32.8,-96.84
872,O'Brien County, Iowa,43.11,-95.65
873,Benton County, Iowa,46.32,-119.5
874,Butler County, Iowa,39.44,-84.52
875,Dubuque County, Iowa,42.47,-90.83
876,Fremont County, Iowa,38.53,-105.5
877,Hamilton County, Iowa,39.24,-84.56
878,Pocahontas County, Iowa,38.31,-80.01
879,Taylor County, Iowa,32.25,-99.81
880,Union County, Iowa,34.93,-80.54
881,Van Buren County, Iowa,42.25,-86.01
882,Worth County, Iowa,43.36,-93.34
883,Ringgold County, Iowa,40.8,-94.32
884,Adams County, Iowa,39.84,-104.19
885,Adair County, Iowa,37.08,-85.31
886,Audubon County, Iowa,41.73,-94.98
887,Chickasaw County, Iowa,33.88,-89.02
888,Clarke County, Iowa,33.95,-83.36
889,Davis County, Iowa,40.96,-112.1
890,Dickinson County, Iowa,43.4,-95.18
891,Ida County, Iowa,42.34,-95.48
892,Johnson County, Iowa,38.85,-94.85
893,Keokuk County, Iowa,41.34,-92.22
894,Monroe County, Iowa,43.28,-77.75
895,Tama County, Iowa,42.13,-92.54
896,Wapello County, Iowa,41.01,-92.38
897,Sioux County, Iowa,43.09,-96.15
898,Franklin County, Iowa,40.02,-82.99
899,Calhoun County, Iowa,42.21,-85.02
900,Carroll County, Iowa,39.54,-77.06
901,Cedar County, Iowa,41.83,-91.14
902,Cerro Gordo County, Iowa,43.15,-93.2
903,Floyd County, Iowa,34.28,-85.23
904,Greene County, Iowa,39.7,-83.89
905,Hardin County, Iowa,30.36,-94.32
906,Louisa County, Iowa,37.99,-77.97
907,Lucas County, Iowa,41.69,-83.38
908,Lyon County, Iowa,38.95,-119.14
909,Winnebago County, Iowa,44.01,-88.71
910,Palo Alto County, Iowa,43.16,-94.65
911,Shelby County, Iowa,35.13,-89.93
912,Appanoose County, Iowa,40.68,-92.86
913,Henry County, Iowa,33.43,-84.14
914,Iowa County, Iowa,42.94,-90.07
915,Jasper County, Iowa,32.49,-81.08
916,Page County, Iowa,38.63,-78.52
917,Winneshiek County, Iowa,43.24,-91.91
918,Poweshiek County, Iowa,41.65,-92.54
919,Pottawattamie County, Iowa,41.39,-95.48
920,Marshall County, Iowa,34.37,-86.34
921,Clayton County, Iowa,33.56,-84.38
922,Boone County, Iowa,38.99,-84.73
923,Bremer County, Iowa,42.76,-92.38
924,Buena Vista County, Iowa,42.67,-95.14
925,Howard County, Iowa,39.29,-76.96
926,Emmet County, Iowa,45.64,-84.98
927,Guthrie County, Iowa,41.75,-94.48
928,Hancock County, Iowa,39.82,-85.85
929,Humboldt County, Iowa,40.75,-123.87
930,Madison County, Iowa,38.9,-89.93
931,Marion County, Iowa,44.84,-122.59
932,Washington County, Iowa,45.55,-123.14
933,Wright County, Iowa,45.15,-94.02
934,Cass County, Iowa,47.21,-94.23
935,Cherokee County, Iowa,34.25,-84.48
936,Crawford County, Iowa,41.67,-80.28
937,Des Moines County, Iowa,40.91,-91.17
938,Fayette County, Iowa,33.45,-84.48
939,Harrison County, Iowa,30.43,-89.02
940,Kossuth County, Iowa,43.25,-94.23
941,Mills County, Iowa,31.61,-98.57
942,Monona County, Iowa,42.0,-95.98
943,Muscatine County, Iowa,41.52,-91.14
944,Osceola County, Iowa,28.1,-81.08
945,Polk County, Iowa,27.86,-81.69
946,Webster County, Iowa,42.4,-94.15
947,Story County, Iowa,42.1,-93.5
948,Woodbury County, Iowa,42.32,-95.98
949,Black Hawk County, Iowa,42.45,-92.38
950,Grundy County, Iowa,41.35,-88.4
951,Jackson County, Iowa,38.99,-94.32
952,Jones County, Iowa,31.53,-89.17
953,Lee County, Iowa,26.66,-81.95
954,Mitchell County, Iowa,36.03,-82.15
955,Montgomery County, Iowa,39.15,-77.24
956,Warren County, Iowa,39.42,-84.19
957,Sac County, Iowa,38.47,-121.35
958,Mahaska County, Iowa,41.33,-92.7
959,Plymouth County, Iowa,41.91,-70.72
960,Buchanan County, Iowa,39.63,-94.81
961,Clay County, Iowa,29.99,-81.78
962,Clinton County, Iowa,42.97,-84.52
963,Decatur County, Iowa,39.32,-85.52
964,Smith County, Kansas,32.34,-95.31
965,Grant County, Kansas,47.2,-119.37
966,Jackson County, Kansas,38.99,-94.32
967,Kingman County, Kansas,37.61,-98.22
968,Logan County, Kansas,40.39,-83.85
969,Cherokee County, Kansas,34.25,-84.48
970,Nemaha County, Kansas,39.75,-95.98
971,Pottawatomie County, Kansas,39.4,-96.32
972,Wyandotte County, Kansas,39.1,-94.77
973,Butler County, Kansas,39.44,-84.52
974,Clay County, Kansas,29.99,-81.78
975,Lincoln County, Kansas,35.46,-81.21
976,Saline County, Kansas,34.57,-92.54
977,Sumner County, Kansas,36.47,-86.5
978,Trego County, Kansas,38.99,-99.81
979,Wabaunsee County, Kansas,38.91,-96.15
980,Wilson County, Kansas,35.69,-77.88
981,Woodson County, Kansas,37.92,-95.81
982,Mitchell County, Kansas,36.03,-82.15
983,Ness County, Kansas,38.48,-99.99
984,Osborne County, Kansas,39.41,-98.75
985,Atchison County, Kansas,39.57,-95.35
986,Bourbon County, Kansas,38.22,-84.23
987,Finney County, Kansas,38.06,-100.89
988,Hamilton County, Kansas,39.24,-84.56
989,Kiowa County, Kansas,37.53,-99.28
990,Leavenworth County, Kansas,39.17,-95.02
991,Shawnee County, Kansas,39.09,-95.81
992,Sherman County, Kansas,45.41,-120.75
993,Stanton County, Kansas,37.64,-101.8
994,Thomas County, Kansas,30.84,-83.85
995,Meade County, Kansas,44.44,-102.69
996,Montgomery County, Kansas,39.15,-77.24
997,Morris County, Kansas,40.83,-74.55
998,Pratt County, Kansas,37.57,-98.75
999,Rawlins County, Kansas,39.86,-101.07
1000,Rooks County, Kansas,39.36,-99.28
1001,Anderson County, Kansas,34.55,-82.65
1002,Clark County, Kansas,36.08,-115.09
1003,Ellsworth County, Kansas,38.62,-98.22
1004,Geary County, Kansas,39.0,-96.79
1005,Harper County, Kansas,37.11,-98.05
1006,Ford County, Kansas,37.65,-99.81
1007,Russell County, Kansas,32.36,-85.19
1008,Lyon County, Kansas,38.95,-119.14
1009,Marshall County, Kansas,34.37,-86.34
1010,Pawnee County, Kansas,38.2,-99.28
1011,Allen County, Kansas,41.09,-85.02
1012,Cheyenne County, Kansas,41.25,-103.08
1013,Comanche County, Kansas,34.66,-98.4
1014,Cowley County, Kansas,37.27,-96.92
1015,Elk County, Kansas,41.43,-78.57
1016,Gove County, Kansas,38.93,-100.53
1017,Franklin County, Kansas,40.02,-82.99
1018,Harvey County, Kansas,38.0,-97.35
1019,Hodgeman County, Kansas,38.14,-99.99
1020,Jewell County, Kansas,39.77,-98.22
1021,Kearny County, Kansas,38.03,-101.25
1022,Rice County, Kansas,44.27,-93.34
1023,Stafford County, Kansas,38.43,-77.42
1024,McPherson County, Kansas,38.32,-97.7
1025,Osage County, Kansas,36.62,-96.24
1026,Greeley County, Kansas,38.47,-101.8
1027,Coffey County, Kansas,38.26,-95.81
1028,Crawford County, Kansas,41.67,-80.28
1029,Ellis County, Kansas,32.26,-96.84
1030,Greenwood County, Kansas,34.17,-82.13
1031,Labette County, Kansas,37.26,-95.31
1032,Linn County, Kansas,42.07,-91.68
1033,Sedgwick County, Kansas,37.65,-97.52
1034,Seward County, Kansas,37.22,-100.89
1035,Republic County, Kansas,39.81,-97.7
1036,Graham County, Kansas,33.08,-109.76
1037,Johnson County, Kansas,38.85,-94.85
1038,Douglas County, Kansas,39.26,-104.94
1039,Sheridan County, Kansas,44.79,-106.93
1040,Miami County, Kansas,40.08,-84.19
1041,Gray County, Kansas,35.34,-100.89
1042,Wallace County, Kansas,38.97,-101.8
1043,Chase County, Kansas,38.3,-96.58
1044,Stevens County, Kansas,48.46,-117.91
1045,Washington County, Kansas,45.55,-123.14
1046,Wichita County, Kansas,33.93,-98.75
1047,Chautauqua County, Kansas,42.23,-79.56
1048,Morton County, Kansas,46.67,-101.16
1049,Norton County, Kansas,39.8,-99.99
1050,Reno County, Kansas,37.96,-98.05
1051,Barton County, Kansas,38.36,-98.77
1052,Cloud County, Kansas,39.48,-97.7
1053,Doniphan County, Kansas,39.82,-95.18
1054,Edwards County, Kansas,29.93,-100.44
1055,Haskell County, Kansas,33.14,-99.81
1056,Lane County, Kansas,43.96,-122.66
1057,Rush County, Kansas,39.65,-85.52
1058,Scott County, Kansas,44.68,-93.54
1059,Marion County, Kansas,44.84,-122.59
1060,Neosho County, Kansas,37.6,-95.31
1061,Brown County, Kansas,44.46,-87.93
1062,Ottawa County, Kansas,42.95,-86.09
1063,Phillips County, Kansas,34.46,-90.87
1064,Riley County, Kansas,39.37,-96.84
1065,Barber County, Kansas,37.23,-98.75
1066,Decatur County, Kansas,39.32,-85.52
1067,Dickinson County, Kansas,43.4,-95.18
1068,Jefferson County, Kansas,39.58,-105.27
1069,Harrison County, Kentucky,30.43,-89.02
1070,Butler County, Kentucky,39.44,-84.52
1071,Trimble County, Kentucky,38.6,-85.31
1072,Edmonson County, Kentucky,37.19,-86.22
1073,Hickman County, Kentucky,35.8,-87.46
1074,Bracken County, Kentucky,38.71,-84.06
1075,Lyon County, Kentucky,38.95,-119.14
1076,Nelson County, Kentucky,37.75,-78.88
1077,Wayne County, Kentucky,42.28,-83.34
1078,Lewis County, Kentucky,46.62,-122.46
1079,Marion County, Kentucky,44.84,-122.59
1080,Trigg County, Kentucky,36.85,-87.78
1081,Woodford County, Kentucky,40.71,-89.17
1082,Boone County, Kentucky,38.99,-84.73
1083,Leslie County, Kentucky,37.07,-83.38
1084,Jessamine County, Kentucky,37.9,-84.56
1085,Knox County, Kentucky,35.99,-83.94
1086,Lawrence County, Kentucky,40.96,-80.37
1087,Letcher County, Kentucky,37.13,-82.86
1088,Livingston County, Kentucky,42.62,-83.85
1089,McCracken County, Kentucky,37.03,-88.71
1090,Pike County, Kentucky,41.34,-75.06
1091,Shelby County, Kentucky,35.13,-89.93
1092,Whitley County, Kentucky,41.11,-85.52
1093,Anderson County, Kentucky,34.55,-82.65
1094,Breckinridge County, Kentucky,37.8,-86.46
1095,Floyd County, Kentucky,34.28,-85.23
1096,Franklin County, Kentucky,40.02,-82.99
1097,Kenton County, Kentucky,38.99,-84.56
1098,McCreary County, Kentucky,36.7,-84.48
1099,Madison County, Kentucky,38.9,-89.93
1100,Magoffin County, Kentucky,37.73,-83.04
1101,Metcalfe County, Kentucky,37.0,-85.64
1102,Owsley County, Kentucky,37.43,-83.72
1103,Rowan County, Kentucky,35.63,-80.54
1104,Simpson County, Kentucky,36.78,-86.62
1105,Taylor County, Kentucky,32.25,-99.81
1106,Clark County, Kentucky,36.08,-115.09
1107,Todd County, Kentucky,46.03,-94.83
1108,Carlisle County, Kentucky,36.82,-88.98
1109,Carroll County, Kentucky,39.54,-77.06
1110,Clinton County, Kentucky,42.97,-84.52
1111,Estill County, Kentucky,37.7,-83.97
1112,Gallatin County, Kentucky,45.54,-111.12
1113,Garrard County, Kentucky,37.64,-84.56
1114,Greenup County, Kentucky,38.57,-82.95
1115,Fleming County, Kentucky,38.4,-83.68
1116,Campbell County, Kentucky,37.22,-79.11
1117,Carter County, Kentucky,36.26,-82.13
1118,Elliott County, Kentucky,38.16,-83.12
1119,Grant County, Kentucky,47.2,-119.37
1120,Jefferson County, Kentucky,39.58,-105.27
1121,Larue County, Kentucky,37.52,-85.73
1122,Logan County, Kentucky,40.39,-83.85
1123,Mason County, Kentucky,47.43,-123.2
1124,Mercer County, Kentucky,40.3,-74.73
1125,Pendleton County, Kentucky,38.73,-84.4
1126,Robertson County, Kentucky,36.53,-86.86
1127,Russell County, Kentucky,32.36,-85.19
1128,Spencer County, Kentucky,38.01,-85.31
1129,Washington County, Kentucky,45.55,-123.14
1130,Bath County, Kentucky,38.11,-79.65
1131,Ballard County, Kentucky,37.04,-89.02
1132,Barren County, Kentucky,36.97,-85.85
1133,Boyle County, Kentucky,37.65,-84.82
1134,Green County, Kentucky,42.63,-89.63
1135,Hancock County, Kentucky,39.82,-85.85
1136,Harlan County, Kentucky,36.89,-83.21
1137,Martin County, Kentucky,27.08,-80.41
1138,Hardin County, Kentucky,30.36,-94.32
1139,Lincoln County, Kentucky,35.46,-81.21
1140,McLean County, Kentucky,40.55,-88.86
1141,Monroe County, Kentucky,43.28,-77.75
1142,Ohio County, Kentucky,37.51,-86.82
1143,Powell County, Kentucky,37.84,-83.83
1144,Union County, Kentucky,34.93,-80.54
1145,Webster County, Kentucky,42.4,-94.15
1146,Caldwell County, Kentucky,35.92,-81.56
1147,Calloway County, Kentucky,36.64,-88.29
1148,Casey County, Kentucky,37.32,-84.9
1149,Christian County, Kentucky,37.0,-93.18
1150,Daviess County, Kentucky,37.73,-87.1
1151,Grayson County, Kentucky,33.71,-96.66
1152,Henderson County, Kentucky,35.37,-82.43
1153,Henry County, Kentucky,33.43,-84.14
1154,Hopkins County, Kentucky,33.23,-95.48
1155,Jackson County, Kentucky,38.99,-94.32
1156,Laurel County, Kentucky,37.07,-84.19
1157,Marshall County, Kentucky,34.37,-86.34
1158,Meade County, Kentucky,44.44,-102.69
1159,Montgomery County, Kentucky,39.15,-77.24
1160,Nicholas County, Kentucky,38.33,-80.77
1161,Oldham County, Kentucky,38.36,-85.48
1162,Owen County, Kentucky,39.36,-86.82
1163,Rockcastle County, Kentucky,37.37,-84.31
1164,Scott County, Kentucky,44.68,-93.54
1165,Warren County, Kentucky,39.42,-84.19
1166,Allen County, Kentucky,41.09,-85.02
1167,Bourbon County, Kentucky,38.22,-84.23
1168,Boyd County, Kentucky,38.38,-82.69
1169,Bullitt County, Kentucky,37.98,-85.68
1170,Crittenden County, Kentucky,35.3,-90.37
1171,Fayette County, Kentucky,33.45,-84.48
1172,Fulton County, Kentucky,33.8,-84.4
1173,Johnson County, Kentucky,38.85,-94.85
1174,Knott County, Kentucky,37.35,-82.99
1175,Menifee County, Kentucky,37.93,-83.63
1176,Morgan County, Kentucky,41.06,-111.62
1177,Muhlenberg County, Kentucky,37.18,-87.14
1178,Perry County, Kentucky,40.37,-77.24
1179,Pulaski County, Kentucky,34.75,-92.22
1180,Wolfe County, Kentucky,37.76,-83.46
1181,Clay County, Kentucky,29.99,-81.78
1182,Adair County, Kentucky,37.08,-85.31
1183,Bell County, Kentucky,31.13,-97.52
1184,Breathitt County, Kentucky,37.54,-83.34
1185,Cumberland County, Kentucky,34.95,-78.75
1186,Graves County, Kentucky,36.69,-88.71
1187,Hart County, Kentucky,34.35,-82.95
1188,Lee County, Kentucky,26.66,-81.95
1189,Hancock County, Maine,39.82,-85.85
1190,Oxford County, Maine,44.49,-70.78
1191,Lincoln County, Maine,35.46,-81.21
1192,Waldo County, Maine,44.51,-69.21
1193,Penobscot County, Maine,45.32,-68.58
1194,Piscataquis County, Maine,45.7,-69.34
1195,Androscoggin County, Maine,44.19,-70.17
1196,Aroostook County, Maine,46.82,-68.48
1197,Washington County, Maine,45.55,-123.14
1198,Cumberland County, Maine,34.95,-78.75
1199,Knox County, Maine,35.99,-83.94
1200,Sagadahoc County, Maine,43.82,-69.78
1201,York County, Maine,34.99,-81.25
1202,Kennebec County, Maine,44.45,-69.7
1203,Franklin County, Maine,40.02,-82.99
1204,Somerset County, Maine,40.53,-74.64
1205,Vermilion Parish, Louisiana,29.86,-92.38
1206,St. Charles Parish, Louisiana,29.93,-90.34
1207,Lafourche Parish, Louisiana,29.7,-90.53
1208,Concordia Parish, Louisiana,31.48,-91.64
1209,Tensas Parish, Louisiana,32.08,-91.29
1210,West Feliciana Parish, Louisiana,30.84,-91.4
1211,Jefferson Davis Parish, Louisiana,30.27,-92.82
1212,St. James Parish, Louisiana,30.02,-90.79
1213,Grant Parish, Louisiana,31.69,-92.54
1214,Jefferson Parish, Louisiana,29.65,-90.11
1215,Beauregard Parish, Louisiana,30.76,-93.34
1216,Bienville Parish, Louisiana,32.41,-93.02
1217,Bossier Parish, Louisiana,32.76,-93.66
1218,Cameron Parish, Louisiana,29.84,-93.18
1219,East Feliciana Parish, Louisiana,30.85,-91.02
1220,St. John the Baptist Parish, Louisiana,30.11,-90.49
1221,Plaquemines Parish, Louisiana,29.32,-89.47
1222,Ouachita Parish, Louisiana,32.43,-92.22
1223,Rapides Parish, Louisiana,31.15,-92.54
