,County,State,Homeless Pop,Population,Homeless Rate
642,Jefferson County, Illinois,18,38358,0.00021885
643,Jersey County, Illinois,0,22215,0
644,Jo Daviess County, Illinois,0,22046,0
645,Johnson County, Illinois,0,12899,0
646,Kane County, Illinois,1599,529402,0.141216992
647,LaSalle County, Illinois,132,111151,0.050516648
648,Lawrence County, Illinois,0,16457,0
649,Lee County, Illinois,27,34670,0.001786896
650,McLean County, Illinois,466,173231,0.001070976
651,Kendall County, Illinois,0,122933,0
652,Knox County, Illinois,209,51374,0.035173342
653,Lake County, Illinois,668,704476,0.01472371
654,Livingston County, Illinois,0,36812,0
655,Logan County, Illinois,0,29488,0
656,McDonough County, Illinois,20,31597,9.66E-05
657,McHenry County, Illinois,469,308043,0.054963084
658,Mason County, Illinois,0,13904,0
659,Macon County, Illinois,663,107587,0.017133111
660,Macoupin County, Illinois,0,45960,0
661,Madison County, Illinois,142,266153,0.018310767
662,Marion County, Illinois,12,38305,0.000525417
663,Marshall County, Illinois,0,11925,0
664,Ogle County, Illinois,40,51619,0.00095568
665,Massac County, Illinois,0,14594,0
666,Menard County, Illinois,0,12416,0
667,Mercer County, Illinois,0,15794,0
668,Morgan County, Illinois,8,34442,0.0002092
669,Moultrie County, Illinois,0,14711,0
670,Monroe County, Illinois,0,33739,0
671,Montgomery County, Illinois,12,29173,0.001113586
672,Pike County, Illinois,0,15930,0
673,Peoria County, Illinois,622,186145,0.06222489
674,Perry County, Illinois,0,21467,0
675,Piatt County, Illinois,0,16433,0
676,Clark County, Illinois,0,15924,0
677,Adams County, Illinois,165,66787,0.001489156
678,Champaign County, Illinois,836,207946,0.052931493
679,Christian County, Illinois,0,33562,0
680,Calhoun County, Illinois,0,4897,0
681,Cass County, Illinois,0,12880,0
682,Carroll County, Illinois,0,14704,0
683,Alexander County, Illinois,6,6776,0.000182765
684,Boone County, Illinois,0,53638,0
685,Bond County, Illinois,0,17034,0
686,Bureau County, Illinois,0,33619,0
687,Brown County, Illinois,0,6791,0
688,Cumberland County, Illinois,0,10899,0
689,Clay County, Illinois,0,13393,0
690,Clinton County, Illinois,59,37640,0.00415903
691,Coles County, Illinois,23,52540,0.000590622
692,Cook County, Illinois,15397,5238541,0.391761234
693,Crawford County, Illinois,0,19214,0
694,DeKalb County, Illinois,239,104473,0.007564009
695,Harrison County, Indiana,24,39450,7.79E-05
696,Jasper County, Indiana,0,33448,0
697,Hancock County, Indiana,66,72776,0.004486439
698,Hendricks County, Indiana,97,158170,0.004518563
699,Henry County, Indiana,109,48649,0.006842436
700,Howard County, Indiana,301,82457,0.069036697
701,Huntington County, Indiana,12,36520,8.21E-05
702,Jackson County, Indiana,47,43779,0.000177739
703,Lake County, Indiana,428,488694,0.019538026
704,Jay County, Indiana,28,21107,0.00242047
705,Jefferson County, Indiana,0,32293,0
706,Jennings County, Indiana,20,27840,0.004084133
707,LaGrange County, Indiana,0,38720,0
708,Kosciusko County, Indiana,48,78720,0.003563474
709,Johnson County, Indiana,0,149359,0
710,Knox County, Indiana,60,37763,0.000113335
711,Carroll County, Indiana,0,19994,0
712,Bartholomew County, Indiana,72,81024,0.004375038
713,Adams County, Indiana,0,35018,0
714,Allen County, Indiana,907,367747,0.023678371
715,Benton County, Indiana,0,8685,0
716,Blackford County, Indiana,0,12214,0
717,Boone County, Indiana,0,63013,0
718,Brown County, Indiana,0,15007,0
719,Elkhart County, Indiana,603,202924,0.04502352
720,Cass County, Indiana,109,38248,0.020857252
721,Clark County, Indiana,244,114893,0.004127548
722,Clay County, Indiana,0,26375,0
723,Clinton County, Indiana,44,32455,0.000236375
724,Crawford County, Indiana,0,10598,0
725,Daviess County, Indiana,0,32777,0
726,Dearborn County, Indiana,134,49564,0.008154324
727,Decatur County, Indiana,78,26480,0.013705851
728,DeKalb County, Indiana,120,42524,0.016710765
729,Delaware County, Indiana,734,115938,0.132228427
730,Dubois County, Indiana,0,42379,0
731,Fulton County, Indiana,0,20296,0
732,Fayette County, Indiana,0,23426,0
733,Floyd County, Indiana,35,76481,0.001041078
734,Fountain County, Indiana,0,16620,0
735,Gibson County, Indiana,40,33596,0.000761325
736,Franklin County, Indiana,0,22835,0
737,Grant County, Indiana,191,67615,0.008597794
738,Greene County, Indiana,0,32431,0
739,Hamilton County, Indiana,77,309687,0.004760138
740,Warren County, Indiana,0,8269,0
741,Warrick County, Indiana,0,61581,0
742,Washington County, Indiana,4,27807,0.000135648
743,Wayne County, Indiana,136,66972,0.002959095
744,Wells County, Indiana,0,27832,0
745,White County, Indiana,0,24279,0
746,Whitley County, Indiana,16,33481,0.00112202
747,Martin County, Indiana,0,10219,0
748,LaPorte County, Indiana,132,110839,0.002323003
749,Lawrence County, Indiana,0,45669,0
750,Madison County, Indiana,391,129641,0.010387885
751,Marion County, Indiana,2588,939964,0.024771951
752,Marshall County, Indiana,0,46752,0
753,Noble County, Indiana,108,47421,0.011240633
754,Miami County, Indiana,0,36035,0
755,Monroe County, Indiana,419,144436,0.005289936
756,Montgomery County, Indiana,0,38288,0
757,Morgan County, Indiana,250,69533,0.003704966
758,Newton County, Indiana,0,14056,0
759,Posey County, Indiana,35,25599,0.001765003
760,Ohio County, Indiana,0,5911,0
761,Orange County, Indiana,0,19623,0
762,Owen County, Indiana,0,20957,0
763,Parke County, Indiana,0,17062,0
764,Perry County, Indiana,0,19229,0
765,Porter County, Indiana,285,167391,0.005740297
766,Pike County, Indiana,0,12471,0
767,St. Joseph County, Indiana,1134,268613,0.022073422
768,Pulaski County, Indiana,0,12761,0
769,Putnam County, Indiana,47,37543,0.001276758
770,Randolph County, Indiana,0,25203,0
771,Ripley County, Indiana,0,28372,0
772,Rush County, Indiana,0,16765,0
773,Tippecanoe County, Indiana,414,186081,0.032142857
774,Scott County, Indiana,0,23722,0
775,Shelby County, Indiana,4,44339,2.77E-05
776,Spencer County, Indiana,0,20610,0
777,Starke County, Indiana,0,22966,0
778,Steuben County, Indiana,16,34459,0.000696682
779,Sullivan County, Indiana,0,20900,0
780,Switzerland County, Indiana,0,10617,0
781,Wabash County, Indiana,0,31848,0
782,Vermillion County, Indiana,0,15644,0
783,Vigo County, Indiana,428,107723,0.00639073
784,Tipton County, Indiana,0,15290,0
785,Union County, Indiana,0,7225,0
786,Vanderburgh County, Indiana,1854,181831,0.070293839
787,Adair County, Iowa,0,7192,0
788,Bremer County, Iowa,0,24741,0
789,Allamakee County, Iowa,0,13940,0
790,Adams County, Iowa,0,3785,0
791,Black Hawk County, Iowa,197,132960,0.004499874
792,Benton County, Iowa,0,25646,0
793,Audubon County, Iowa,0,5711,0
794,Appanoose County, Iowa,0,12547,0
795,Boone County, Iowa,0,26381,0
796,Buchanan County, Iowa,0,21101,0
797,Cherokee County, Iowa,0,11577,0
798,Buena Vista County, Iowa,0,20369,0
799,Butler County, Iowa,0,14822,0
800,Calhoun County, Iowa,0,9814,0
801,Carroll County, Iowa,0,20428,0
802,Cass County, Iowa,0,13327,0
803,Cedar County, Iowa,0,18368,0
804,Cerro Gordo County, Iowa,182,43134,0.005552674
805,Crawford County, Iowa,0,17131,0
806,Chickasaw County, Iowa,0,12140,0
807,Clarke County, Iowa,0,9267,0
808,Clay County, Iowa,0,16387,0
809,Clayton County, Iowa,0,17711,0
810,Clinton County, Iowa,204,47587,0.010608976
811,Lyon County, Iowa,0,11745,0
812,Jasper County, Iowa,44,36789,0.003448006
813,Jefferson County, Iowa,0,17945,0
814,Johnson County, Iowa,133,144425,0.003859659
815,Lee County, Iowa,38,34785,0.004595477
816,Linn County, Iowa,486,220008,0.031066223
817,Jones County, Iowa,0,20468,0
818,Keokuk County, Iowa,0,10223,0
819,Kossuth County, Iowa,0,15166,0
820,Louisa County, Iowa,0,11238,0
821,Lucas County, Iowa,0,8600,0
822,Mitchell County, Iowa,0,10663,0
823,Madison County, Iowa,0,15720,0
824,Mahaska County, Iowa,52,22301,0.001867816
825,Marion County, Iowa,0,33127,0
826,Marshall County, Iowa,55,40476,0.000790991
827,Mills County, Iowa,0,14933,0
828,Osceola County, Iowa,0,6149,0
829,Monona County, Iowa,0,8865,0
830,Monroe County, Iowa,0,7912,0
831,Montgomery County, Iowa,0,10239,0
832,Muscatine County, Iowa,161,42923,0.003443703
833,O'Brien County, Iowa,0,13944,0
834,Scott County, Iowa,516,171493,0.0028378
835,Page County, Iowa,0,15393,0
836,Palo Alto County, Iowa,0,9110,0
837,Plymouth County, Iowa,0,25027,0
838,Pocahontas County, Iowa,0,6972,0
839,Polk County, Iowa,2457,467235,0.067278204
840,Pottawattamie County, Iowa,254,93287,0.002291612
841,Poweshiek County, Iowa,0,18428,0
842,Ringgold County, Iowa,0,4986,0
843,Shelby County, Iowa,0,11772,0
844,Sac County, Iowa,0,9936,0
845,Warren County, Iowa,0,48630,0
846,Sioux County, Iowa,0,34692,0
847,Story County, Iowa,336,95888,0.007577979
848,Tama County, Iowa,0,17236,0
849,Taylor County, Iowa,0,6214,0
850,Union County, Iowa,0,12497,0
851,Van Buren County, Iowa,0,7308,0
852,Wapello County, Iowa,0,35321,0
853,Woodbury County, Iowa,415,102397,0.003852473
854,Washington County, Iowa,0,22095,0
855,Wayne County, Iowa,0,6405,0
856,Webster County, Iowa,158,36945,0.003715549
857,Winnebago County, Iowa,0,10545,0
858,Winneshiek County, Iowa,0,20575,0
859,Emmet County, Iowa,0,9661,0
860,Dallas County, Iowa,75,80864,0.001190231
861,Davis County, Iowa,0,8834,0
862,Des Moines County, Iowa,0,39876,0
863,Decatur County, Iowa,0,8105,0
864,Delaware County, Iowa,0,17326,0
865,Dickinson County, Iowa,36,17000,0.001028043
866,Dubuque County, Iowa,306,96571,0.002663348
867,Grundy County, Iowa,0,12354,0
868,Fayette County, Iowa,0,20139,0
869,Floyd County, Iowa,0,15904,0
870,Franklin County, Iowa,0,10326,0
871,Fremont County, Iowa,0,6985,0
872,Greene County, Iowa,0,9046,0
873,Humboldt County, Iowa,0,9586,0
874,Guthrie County, Iowa,0,10664,0
875,Hamilton County, Iowa,0,15201,0
876,Hancock County, Iowa,0,10971,0
877,Hardin County, Iowa,0,17239,0
878,Harrison County, Iowa,0,14196,0
879,Henry County, Iowa,0,19865,0
880,Howard County, Iowa,0,9321,0
881,Ida County, Iowa,0,6965,0
882,Iowa County, Iowa,0,16231,0
883,Jackson County, Iowa,0,19409,0
884,Worth County, Iowa,0,7502,0
885,Wright County, Iowa,0,12864,0
886,Mitchell County, Kansas,0,6230,0
887,Montgomery County, Kansas,0,33463,0
888,Morton County, Kansas,0,2931,0
889,Nemaha County, Kansas,0,10095,0
890,Phillips County, Kansas,0,5446,0
891,Neosho County, Kansas,23,16209,0.002481925
892,Ness County, Kansas,0,3001,0
893,Norton County, Kansas,0,5527,0
894,Osage County, Kansas,0,15894,0
895,Osborne County, Kansas,0,3684,0
896,Ottawa County, Kansas,0,5957,0
897,Pawnee County, Kansas,0,6776,0
898,Rice County, Kansas,0,9868,0
899,Pottawatomie County, Kansas,0,23188,0
900,Pratt County, Kansas,0,9670,0
901,Rawlins County, Kansas,0,2520,0
902,Reno County, Kansas,137,63360,0.013959649
903,Republic County, Kansas,0,4705,0
904,Seward County, Kansas,47,22948,0.002558798
905,Russell County, Kansas,0,6987,0
906,Rush County, Kansas,0,3119,0
907,Saline County, Kansas,252,55334,0.027857617
908,Riley County, Kansas,96,75696,0.005568768
909,Rooks County, Kansas,0,5148,0
910,Scott County, Kansas,0,4981,0
911,Sedgwick County, Kansas,754,510484,0.064197531
912,Stanton County, Kansas,0,2107,0
913,Shawnee County, Kansas,883,178392,0.096926454
914,Sheridan County, Kansas,0,2497,0
915,Allen County, Kansas,0,12752,0
916,Bourbon County, Kansas,0,14757,0
917,Brown County, Kansas,0,9736,0
918,Atchison County, Kansas,0,16466,0
919,Anderson County, Kansas,0,7840,0
920,Barber County, Kansas,0,4905,0
921,Barton County, Kansas,38,27067,0.002062079
922,Chase County, Kansas,0,2665,0
923,Butler County, Kansas,0,66260,0
924,Ellis County, Kansas,0,28877,0
925,Clay County, Kansas,0,8203,0
926,Clark County, Kansas,0,2089,0
927,Cloud County, Kansas,0,9191,0
928,Chautauqua County, Kansas,0,3425,0
929,Cherokee County, Kansas,0,20501,0
930,Cheyenne County, Kansas,0,2677,0
931,Coffey County, Kansas,0,8328,0
932,Comanche County, Kansas,0,1741,0
933,Cowley County, Kansas,0,35732,0
934,Crawford County, Kansas,128,39099,0.003863918
935,Decatur County, Kansas,0,2891,0
936,Dickinson County, Kansas,0,19162,0
937,Doniphan County, Kansas,0,7790,0
938,Edwards County, Kansas,0,2946,0
939,Elk County, Kansas,0,2581,0
940,Gove County, Kansas,0,2632,0
941,Ellsworth County, Kansas,0,6331,0
942,Finney County, Kansas,30,37097,0.002113271
943,Ford County, Kansas,4,34658,0.000263748
944,Franklin County, Kansas,0,25599,0
945,Geary County, Kansas,137,35796,0.015454033
946,Douglas County, Kansas,163,117806,0.003797498
947,Jackson County, Kansas,0,13322,0
948,Graham County, Kansas,0,2561,0
949,Grant County, Kansas,0,7716,0
950,Gray County, Kansas,0,6004,0
951,Greeley County, Kansas,0,1210,0
952,Greenwood County, Kansas,0,6227,0
953,Hamilton County, Kansas,0,2621,0
954,Harper County, Kansas,0,5746,0
955,Harvey County, Kansas,64,34683,0.003126832
956,Jefferson County, Kansas,0,18856,0
957,Haskell County, Kansas,0,4081,0
958,Hodgeman County, Kansas,0,1875,0
959,Jewell County, Kansas,0,2963,0
960,Johnson County, Kansas,337,578797,0.033917069
961,Linn County, Kansas,0,9602,0
962,Kearny County, Kansas,0,3931,0
963,Kingman County, Kansas,0,7576,0
964,Kiowa County, Kansas,0,2524,0
965,Labette County, Kansas,16,20553,0.000336226
966,Lane County, Kansas,0,1702,0
967,Leavenworth County, Kansas,27,79359,0.007311129
968,Lincoln County, Kansas,0,3121,0
969,Meade County, Kansas,0,4295,0
970,Logan County, Kansas,0,2790,0
971,Lyon County, Kansas,134,33302,0.048028674
972,McPherson County, Kansas,0,28792,0
973,Marion County, Kansas,68,12087,0.006736008
974,Marshall County, Kansas,0,9859,0
975,Morris County, Kansas,0,5605,0
976,Miami County, Kansas,84,32976,0.001267733
977,Sherman County, Kansas,0,5999,0
978,Smith County, Kansas,0,3693,0
979,Stafford County, Kansas,0,4251,0
980,Wyandotte County, Kansas,147,163227,0.00629928
981,Stevens County, Kansas,0,5741,0
982,Sumner County, Kansas,0,23336,0
983,Thomas County, Kansas,0,7847,0
984,Trego County, Kansas,0,2899,0
985,Wabaunsee County, Kansas,0,6918,0
986,Wallace County, Kansas,0,1591,0
987,Washington County, Kansas,0,5572,0
988,Wichita County, Kansas,0,2157,0
989,Woodson County, Kansas,0,3178,0
990,Wilson County, Kansas,0,8858,0
991,Livingston County, Kentucky,0,9288,0
992,Meade County, Kentucky,0,28452,0
993,Logan County, Kentucky,31,26847,0.00039063
994,Lyon County, Kentucky,0,8268,0
995,McCracken County, Kentucky,359,65285,0.059843307
996,Magoffin County, Kentucky,0,12783,0
997,Marion County, Kentucky,0,19335,0
998,Marshall County, Kentucky,0,31177,0
999,McCreary County, Kentucky,0,17748,0
1000,McLean County, Kentucky,0,9361,0
1001,Madison County, Kentucky,43,88376,0.004446743
1002,Martin County, Kentucky,0,12175,0
1003,Mason County, Kentucky,0,17167,0
1004,Nelson County, Kentucky,20,45131,0.00255102
1005,Menifee County, Kentucky,0,6381,0
1006,Mercer County, Kentucky,0,21378,0
1007,Metcalfe County, Kentucky,20,9990,0.000558722
1008,Monroe County, Kentucky,10,10645,0.001740341
1009,Montgomery County, Kentucky,0,27550,0
1010,Morgan County, Kentucky,0,13281,0
1011,Muhlenberg County, Kentucky,0,31153,0
1012,Owsley County, Kentucky,0,4497,0
1013,Nicholas County, Kentucky,0,7061,0
1014,Ohio County, Kentucky,0,24062,0
1015,Oldham County, Kentucky,0,64633,0
1016,Pendleton County, Kentucky,0,14530,0
1017,Owen County, Kentucky,0,10686,0
1018,Russell County, Kentucky,0,17731,0
1019,Perry County, Kentucky,52,27329,0.019756839
1020,Pike County, Kentucky,116,61586,0.004531427
1021,Powell County, Kentucky,0,12349,0
1022,Pulaski County, Kentucky,0,63974,0
1023,Robertson County, Kentucky,0,2161,0
1024,Rockcastle County, Kentucky,131,16815,0.033324854
1025,Rowan County, Kentucky,55,24392,0.005573571
1026,Todd County, Kentucky,0,12377,0
1027,Scott County, Kentucky,0,52322,0
1028,Shelby County, Kentucky,0,45831,0
1029,Simpson County, Kentucky,0,17881,0
1030,Spencer County, Kentucky,0,18012,0
1031,Taylor County, Kentucky,4,25406,0.000102304
1032,Woodford County, Kentucky,0,25817,0
1033,Trigg County, Kentucky,0,14286,0
1034,Trimble County, Kentucky,0,8697,0
1035,Union County, Kentucky,0,14915,0
1036,Warren County, Kentucky,44,123824,8.62E-05
1037,Washington County, Kentucky,8,11999,0.000348614
1038,Wayne County, Kentucky,0,20692,0
1039,Webster County, Kentucky,0,13180,0
1040,Whitley County, Kentucky,127,36027,0.000219421
1041,Wolfe County, Kentucky,0,7251,0
1042,Bracken County, Kentucky,0,8330,0
1043,Campbell County, Kentucky,45,91804,0.001364629
1044,Bullitt County, Kentucky,0,78622,0
1045,Butler County, Kentucky,0,12735,0
1046,Caldwell County, Kentucky,0,12747,0
1047,Carlisle County, Kentucky,0,4890,0
1048,Calloway County, Kentucky,0,38616,0
1049,Crittenden County, Kentucky,0,9154,0
1050,Carroll County, Kentucky,0,10695,0
1051,Carter County, Kentucky,0,27385,0
1052,Casey County, Kentucky,0,15805,0
1053,Christian County, Kentucky,357,72438,0.00563447
1054,Clark County, Kentucky,0,35757,0
1055,Clay County, Kentucky,0,20866,0
1056,Clinton County, Kentucky,8,10208,0.001026958
1057,Fayette County, Kentucky,922,315109,0.312966735
1058,Cumberland County, Kentucky,0,6744,0
1059,Daviess County, Kentucky,437,99258,0.256756757
1060,Edmonson County, Kentucky,0,12063,0
1061,Elliott County, Kentucky,0,7533,0
1062,Estill County, Kentucky,0,14382,0
1063,Graves County, Kentucky,112,37259,0.006909742
1064,Fleming County, Kentucky,0,14515,0
1065,Floyd County, Kentucky,0,37447,0
1066,Franklin County, Kentucky,100,49969,0.018362101
1067,Gallatin County, Kentucky,0,8652,0
1068,Fulton County, Kentucky,0,6259,0
1069,Garrard County, Kentucky,0,17226,0
1070,Grant County, Kentucky,0,24800,0
1071,Harlan County, Kentucky,40,27548,0.002121341
1072,Grayson County, Kentucky,0,26129,0
1073,Green County, Kentucky,0,11044,0
1074,Greenup County, Kentucky,0,36012,0
1075,Hancock County, Kentucky,0,8700,0
1076,Hardin County, Kentucky,91,107699,0.019675676
1077,Kenton County, Kentucky,279,163987,0.033493397
1078,Harrison County, Kentucky,0,18630,0
1079,Hart County, Kentucky,0,18531,0
1080,Henderson County, Kentucky,108,46252,0.005219408
1081,Henry County, Kentucky,0,15677,0
1082,Hickman County, Kentucky,0,4625,0
1083,Hopkins County, Kentucky,41,45985,0.002869943
1084,Jackson County, Kentucky,0,13369,0
1085,Jefferson County, Kentucky,4535,764378,0.035517927
1086,Johnson County, Kentucky,0,23064,0
1087,Jessamine County, Kentucky,0,51667,0
1088,Lee County, Kentucky,0,6717,0
1089,Knott County, Kentucky,0,15690,0
1090,Knox County, Kentucky,0,31424,0
1091,Larue County, Kentucky,0,14102,0
1092,Laurel County, Kentucky,143,59901,0.002190396
1093,Lawrence County, Kentucky,0,15844,0
1094,Leslie County, Kentucky,0,10648,0
1095,Letcher County, Kentucky,0,23011,0
1096,Lewis County, Kentucky,0,13565,0
1097,Lincoln County, Kentucky,0,24413,0
1098,Bath County, Kentucky,0,12189,0
1099,Allen County, Kentucky,0,20628,0
1100,Ballard County, Kentucky,0,8152,0
1101,Bell County, Kentucky,40,27469,0.002253775
1102,Anderson County, Kentucky,0,22017,0
1103,Adair County, Kentucky,0,19304,0
1104,Barren County, Kentucky,8,43418,0.000800801
1105,Boone County, Kentucky,37,127682,0.008227707
1106,Boyd County, Kentucky,87,48486,0.003566743
1107,Boyle County, Kentucky,0,29773,0
1108,Bourbon County, Kentucky,0,20017,0
1109,Breathitt County, Kentucky,0,13276,0
1110,Breckinridge County, Kentucky,0,19991,0
1111,Acadia Parish, Louisiana,196,62607,0.0400818
1112,Assumption Parish, Louisiana,0,22881,0
1113,Allen Parish, Louisiana,0,25667,0
1114,Ascension Parish, Louisiana,55,119129,0.003824225
1115,Beauregard Parish, Louisiana,0,36598,0
1116,Avoyelles Parish, Louisiana,0,41095,0
1117,Bienville Parish, Louisiana,0,13806,0
1118,Cameron Parish, Louisiana,0,6806,0
1119,Bossier Parish, Louisiana,0,125698,0
1120,Caddo Parish, Louisiana,1323,251069,0.048311119
1121,Calcasieu Parish, Louisiana,426,198753,0.056551175
1122,Caldwell Parish, Louisiana,0,10000,0
1123,East Carroll Parish, Louisiana,0,7318,0
1124,Catahoula Parish, Louisiana,0,10044,0
1125,Claiborne Parish, Louisiana,0,16296,0
1126,Concordia Parish, Louisiana,0,20211,0
1127,De Soto Parish, Louisiana,21,27164,0.000982318
1128,East Baton Rouge Parish, Louisiana,1472,446167,0.101307639
1129,Lafourche Parish, Louisiana,0,98112,0
1130,East Feliciana Parish, Louisiana,0,19553,0
1131,Evangeline Parish, Louisiana,0,33750,0
1132,Franklin Parish, Louisiana,0,20388,0
1133,Jackson Parish, Louisiana,0,15952,0
1134,Jefferson Parish, Louisiana,111,437038,0.01361629
1135,Grant Parish, Louisiana,0,22305,0
1136,Iberia Parish, Louisiana,54,73346,0.001813724
1137,Iberville Parish, Louisiana,0,33122,0
1138,Jefferson Davis Parish, Louisiana,0,31405,0
1139,Lafayette Parish, Louisiana,978,238230,0.03550167
1140,Natchitoches Parish, Louisiana,0,39051,0
1141,Lincoln Parish, Louisiana,0,47536,0
1142,Livingston Parish, Louisiana,0,137096,0
1143,Madison Parish, Louisiana,0,11616,0
1144,Morehouse Parish, Louisiana,0,26290,0
1145,St. Helena Parish, Louisiana,0,10509,0
1146,Orleans Parish, Louisiana,2473,388182,0.20025913
1147,Ouachita Parish, Louisiana,166,156433,0.011129735
1148,Plaquemines Parish, Louisiana,0,23394,0
1149,Pointe Coupee Parish, Louisiana,0,22271,0
1150,Rapides Parish, Louisiana,266,132080,0.006888336
1151,Red River Parish, Louisiana,0,8723,0
1152,Richland Parish, Louisiana,0,20619,0
1153,Sabine Parish, Louisiana,0,24145,0
1154,St. Charles Parish, Louisiana,0,52728,0
1155,St. Bernard Parish, Louisiana,0,45067,0
1156,St. Tammany Parish, Louisiana,123,249201,0.007845889
1157,St. James Parish, Louisiana,0,21485,0
1158,St. John the Baptist Parish, Louisiana,0,43565,0
1159,St. Landry Parish, Louisiana,322,83580,0.005375536
1160,St. Martin Parish, Louisiana,28,53609,0.000898098
1161,St. Mary Parish, Louisiana,0,52578,0
1162,Webster Parish, Louisiana,47,40043,0.001705989
1163,Tangipahoa Parish, Louisiana,134,128850,0.018977482
1164,Tensas Parish, Louisiana,0,4771,0
1165,Terrebonne Parish, Louisiana,90,113067,0.008422235
1166,Union Parish, Louisiana,0,22537,0
1167,Vermilion Parish, Louisiana,0,59841,0
1168,Vernon Parish, Louisiana,26,51906,0.000209975
1169,Washington Parish, Louisiana,0,46449,0
1170,Winn Parish, Louisiana,0,14631,0
1171,West Baton Rouge Parish, Louisiana,0,25518,0
1172,West Carroll Parish, Louisiana,0,11274,0
1173,West Feliciana Parish, Louisiana,0,15376,0
1174,Androscoggin County, Maine,148,107317,0.000469679
1175,Aroostook County, Maine,59,68840,0.009426426
1176,Hancock County, Maine,229,54468,0.009928894
1177,Cumberland County, Maine,1174,289173,0.074824729
1178,Franklin County, Maine,0,30177,0
1179,Somerset County, Maine,145,50994,0.010917853
1180,Kennebec County, Maine,167,121289,0.005360639
1181,Knox County, Maine,68,39700,0.002488199
1182,Lincoln County, Maine,0,34021,0
1183,Oxford County, Maine,99,57230,0.013653289
1184,Penobscot County, Maine,621,152284,0.029761334
1185,Piscataquis County, Maine,0,16960,0
1186,Sagadahoc County, Maine,0,35149,0
1187,Waldo County, Maine,0,39280,0
1188,Washington County, Maine,12,31822,0.001779359
1189,York County, Maine,254,201454,0.006817145
1190,Charles County, Maryland,200,156021,0.010792726
1191,Allegany County, Maryland,421,72591,0.06267679
1192,Anne Arundel County, Maryland,680,564600,0.012484395
1193,Baltimore County, Maryland,1706,828637,0.02980954
1194,Cecil County, Maryland,278,102416,0.008171424
1195,Carroll County, Maryland,409,167319,0.010412424
1196,Calvert County, Maryland,154,90824,0.001011268
1197,Caroline County, Maryland,0,32785,0
1198,Kent County, Maryland,44,19666,0.00041
1199,Dorchester County, Maryland,104,32386,0.00151075
1200,Frederick County, Maryland,176,246105,0.005530765
1201,Garrett County, Maryland,20,29516,6.92E-05
1202,Harford County, Maryland,397,250132,0.01
1203,Howard County, Maryland,274,312495,0.007795385
1204,Wicomico County, Maryland,568,102014,0.002819502
1205,Montgomery County, Maryland,2216,1039198,0.018270412
1206,Prince George's County, Maryland,1006,905161,0.033336647
1207,Queen Anne's County, Maryland,28,49071,0.000549084
1208,St. Mary's County, Maryland,192,110979,0.003208503
1209,Somerset County, Maryland,10,25801,0.000189653
1210,Talbot County, Maryland,11,37461,0.000112117
1211,Washington County, Maryland,515,149546,0.025481174
1212,Worcester County, Maryland,118,51559,0.02473276
1213,Baltimore city, Maryland,4689,619796,0.304955775
1214,Bristol County, Massachusetts,605,557016,0.019264448
1215,Barnstable County, Massachusetts,716,213900,0.033325576
1216,Dukes County, Massachusetts,0,17275,0
1217,Berkshire County, Massachusetts,244,127751,0.000558304
1218,Plymouth County, Massachusetts,1699,509114,0.046423302
1219,Essex County, Massachusetts,2386,775860,0.17282341
1220,Franklin County, Massachusetts,196,70926,0.001559293
1221,Hampden County, Massachusetts,851,469188,0.125036732
1222,Hampshire County, Massachusetts,205,161197,0.010484325
1223,Middlesex County, Massachusetts,3085,1582857,0.070813727
1224,Nantucket County, Massachusetts,0,10912,0
1225,Norfolk County, Massachusetts,1116,694389,0.007134045
1226,Suffolk County, Massachusetts,10569,780685,0.080019685
1227,Worcester County, Massachusetts,1784,818249,0.038407716
1228,Oakland County, Michigan,1001,1241860,0.011976549
1229,Midland County, Michigan,104,83489,0.00080714
1230,Missaukee County, Michigan,0,14982,0
1231,Monroe County, Michigan,191,149619,0.003632698
1232,Montcalm County, Michigan,48,62956,0.004257584
1233,Montmorency County, Michigan,0,9290,0
1234,Muskegon County, Michigan,237,172707,0.01051604
1235,Newaygo County, Michigan,0,47899,0
1236,Otsego County, Michigan,79,24247,0.000314655
1237,Oceana County, Michigan,0,26317,0
1238,Ogemaw County, Michigan,0,20979,0
1239,Ontonagon County, Michigan,0,6072,0
1240,Osceola County, Michigan,0,23221,0
1241,Oscoda County, Michigan,0,8304,0
1242,Schoolcraft County, Michigan,0,8114,0
1243,Ottawa County, Michigan,516,280243,0.011449619
1244,Presque Isle County, Michigan,0,12854,0
1245,Roscommon County, Michigan,0,23934,0
1246,Saginaw County, Michigan,682,193803,0.026726232
1247,St. Clair County, Michigan,104,159761,0.003828597
1248,St. Joseph County, Michigan,136,60890,0.004106032
1249,Sanilac County, Michigan,0,41535,0
1250,Wayne County, Michigan,5624,1763822,0.041022349
1251,Shiawassee County, Michigan,0,68617,0
1252,Tuscola County, Michigan,0,53569,0
1253,Van Buren County, Michigan,51,75190,0.000131382
1254,Wexford County, Michigan,48,32915,0.000424527
1255,Washtenaw County, Michigan,528,361509,0.052568698
1256,Alcona County, Michigan,0,10413,0
1257,Antrim County, Michigan,0,23133,0
1258,Allegan County, Michigan,0,114145,0
1259,Alger County, Michigan,0,9254,0
1260,Alpena County, Michigan,134,28730,0.005856387
1261,Arenac County, Michigan,0,15238,0
